Label (Grouping),Median value --!!Total:!!Moved in 2019 or later,Median value --!!Total:!!Moved in 2015 to 2018,Median value --!!Total:!!Moved in 2010 to 2014,Median value --!!Total:!!Moved in 2000 to 2009
ZCTA5 42718,,,,
    Estimate,-,"122,100","144,100","117,800"
    Margin of Error,**,"±18,697","±21,086","±10,888"
ZCTA5 42721,,,,
    Estimate,-,"108,200","158,500","113,700"
    Margin of Error,**,"±20,809","±74,443","±21,959"
ZCTA5 42722,,,,
    Estimate,-,-,-,"122,900"
    Margin of Error,**,**,**,"±92,612"
ZCTA5 42724,,,,
    Estimate,-,"166,500","118,800","149,400"
    Margin of Error,**,"±9,362","±49,933","±41,450"
ZCTA5 42726,,,,
    Estimate,-,"158,500","173,400","109,200"
    Margin of Error,**,"±68,545","±72,862","±25,845"
ZCTA5 42728,,,,
    Estimate,-,"133,400","150,000","95,800"
    Margin of Error,**,"±26,298","±32,644","±12,172"
ZCTA5 42729,,,,
    Estimate,-,"306,300","123,300",-
    Margin of Error,**,"±236,500","±36,596",**
ZCTA5 42731,,,,
    Estimate,-,-,-,"75,000"
    Margin of Error,**,**,**,"±8,346"
ZCTA5 42732,,,,
    Estimate,-,-,"108,700","86,300"
    Margin of Error,**,**,"±76,444","±20,806"
ZCTA5 42733,,,,
    Estimate,-,-,-,"63,800"
    Margin of Error,**,**,**,"±32,934"
ZCTA5 42740,,,,
    Estimate,-,-,-,"133,500"
    Margin of Error,**,**,**,"±103,859"
ZCTA5 42741,,,,
    Estimate,-,-,-,"96,200"
    Margin of Error,**,**,**,"±44,218"
ZCTA5 42743,,,,
    Estimate,"75,500","67,400","68,700","80,200"
    Margin of Error,"±11,562","±22,696","±8,470","±12,486"
ZCTA5 42746,,,,
    Estimate,-,"73,300",-,"98,000"
    Margin of Error,**,"±29,405",**,"±20,318"
ZCTA5 42748,,,,
    Estimate,-,"117,000","131,500","117,500"
    Margin of Error,**,"±56,070","±24,742","±15,424"
ZCTA5 42749,,,,
    Estimate,-,"86,100","118,600","60,000"
    Margin of Error,**,"±26,069","±92,525","±30,119"
ZCTA5 42753,,,,
    Estimate,-,"117,100","75,600",-
    Margin of Error,**,"±24,986","±24,511",**
ZCTA5 42754,,,,
    Estimate,-,"155,800","123,000","116,400"
    Margin of Error,**,"±17,459","±17,425","±11,179"
ZCTA5 42757,,,,
    Estimate,-,"90,500","88,200","99,600"
    Margin of Error,**,"±35,300","±21,077","±30,399"
ZCTA5 42758,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 42762,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 42764,,,,
    Estimate,-,"110,600","164,600",-
    Margin of Error,**,"±22,891","±117,005",**
ZCTA5 42765,,,,
    Estimate,-,"123,600","150,400","99,200"
    Margin of Error,**,"±54,104","±88,724","±26,636"
ZCTA5 42776,,,,
    Estimate,-,"139,000","125,700","103,500"
    Margin of Error,**,"±10,846","±27,272","±48,087"
ZCTA5 42782,,,,
    Estimate,-,-,-,"96,300"
    Margin of Error,**,**,**,"±94,396"
ZCTA5 42784,,,,
    Estimate,-,"87,500",-,"111,600"
    Margin of Error,**,"±24,563",**,"±26,956"
ZCTA5 42788,,,,
    Estimate,-,-,-,"189,400"
    Margin of Error,**,**,**,"±89,872"
ZCTA5 43001,,,,
    Estimate,-,"192,900","307,100","280,000"
    Margin of Error,**,"±79,742","±50,564","±72,530"
ZCTA5 43002,,,,
    Estimate,"243,900","182,100","192,100","192,900"
    Margin of Error,"±140,388","±18,983","±11,474","±20,730"
ZCTA5 43003,,,,
    Estimate,-,"322,200","159,400","170,500"
    Margin of Error,**,"±273,739","±9,676","±64,499"
ZCTA5 43004,,,,
    Estimate,-,"203,900","214,700","205,000"
    Margin of Error,**,"±13,780","±19,836","±11,673"
ZCTA5 43005,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43006,,,,
    Estimate,-,-,-,"76,200"
    Margin of Error,**,**,**,"±30,711"
ZCTA5 43008,,,,
    Estimate,"439,200",-,-,-
    Margin of Error,"±126,700",**,**,**
ZCTA5 43009,,,,
    Estimate,-,"267,400","259,000","166,300"
    Margin of Error,**,"±129,944","±46,675","±81,414"
ZCTA5 43010,,,,
    Estimate,-,"122,500","109,700",-
    Margin of Error,**,"±77,932","±24,857",**
ZCTA5 43011,,,,
    Estimate,-,"231,700","190,700","241,100"
    Margin of Error,**,"±14,854","±102,213","±43,465"
ZCTA5 43013,,,,
    Estimate,-,"433,800","259,200","324,400"
    Margin of Error,**,"±75,803","±55,371","±205,147"
ZCTA5 43014,,,,
    Estimate,"179,200","121,200","158,000","181,000"
    Margin of Error,"±129,803","±70,644","±43,586","±57,147"
ZCTA5 43015,,,,
    Estimate,"273,400","263,800","224,300","204,100"
    Margin of Error,"±100,899","±18,997","±19,029","±12,125"
ZCTA5 43016,,,,
    Estimate,"350,000","381,700","324,800","354,900"
    Margin of Error,"±23,635","±97,246","±34,251","±23,644"
ZCTA5 43017,,,,
    Estimate,"428,300","373,600","363,700","382,600"
    Margin of Error,"±176,468","±25,827","±21,669","±16,988"
ZCTA5 43019,,,,
    Estimate,"201,100","154,300","137,400","200,800"
    Margin of Error,"±140,454","±16,174","±8,221","±34,348"
ZCTA5 43021,,,,
    Estimate,"485,700","440,600","410,400","407,900"
    Margin of Error,"±78,685","±27,319","±31,105","±46,269"
ZCTA5 43022,,,,
    Estimate,-,-,"280,400","314,800"
    Margin of Error,**,**,"±48,095","±86,435"
ZCTA5 43023,,,,
    Estimate,"450,000","351,900","378,300","343,100"
    Margin of Error,"±49,740","±73,430","±55,152","±30,435"
ZCTA5 43025,,,,
    Estimate,-,"143,400","166,700","237,500"
    Margin of Error,**,"±20,382","±68,012","±63,654"
ZCTA5 43026,,,,
    Estimate,"283,700","234,200","229,000","243,500"
    Margin of Error,"±74,950","±16,542","±25,251","±13,056"
ZCTA5 43028,,,,
    Estimate,-,"167,700","161,500","174,500"
    Margin of Error,**,"±18,634","±14,131","±26,748"
ZCTA5 43029,,,,
    Estimate,-,-,-,"168,800"
    Margin of Error,**,**,**,"±18,628"
ZCTA5 43030,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43031,,,,
    Estimate,-,"310,500","288,000","292,200"
    Margin of Error,**,"±77,529","±68,573","±42,228"
ZCTA5 43032,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43033,,,,
    Estimate,-,"104,200","129,200","109,000"
    Margin of Error,**,"±44,568","±54,320","±13,727"
ZCTA5 43035,,,,
    Estimate,"350,500","342,800","343,500","339,000"
    Margin of Error,"±57,119","±14,325","±14,016","±8,632"
ZCTA5 43036,,,,
    Estimate,-,"107,500",-,"85,000"
    Margin of Error,**,"±19,535",**,"±39,994"
ZCTA5 43037,,,,
    Estimate,-,"118,800",-,-
    Margin of Error,**,"±87,224",**,**
ZCTA5 43040,,,,
    Estimate,"220,400","225,300","209,600","228,700"
    Margin of Error,"±71,351","±12,622","±16,034","±13,881"
ZCTA5 43044,,,,
    Estimate,"584,800","146,400","145,600","164,000"
    Margin of Error,"±576,107","±35,132","±71,942","±15,400"
ZCTA5 43045,,,,
    Estimate,-,"165,200","167,600","276,700"
    Margin of Error,**,"±33,819","±65,686","±169,635"
ZCTA5 43046,,,,
    Estimate,"223,500","314,900","168,800","226,400"
    Margin of Error,"±53,452","±55,768","±51,462","±71,165"
ZCTA5 43050,,,,
    Estimate,"253,600","172,500","135,800","155,700"
    Margin of Error,"±205,652","±33,989","±25,101","±15,910"
ZCTA5 43054,,,,
    Estimate,"447,600","353,200","369,100","403,100"
    Margin of Error,"±109,381","±53,135","±19,828","±33,282"
ZCTA5 43055,,,,
    Estimate,"137,100","151,700","148,700","147,600"
    Margin of Error,"±19,039","±11,004","±14,393","±7,713"
ZCTA5 43056,,,,
    Estimate,-,"165,500","158,100","163,000"
    Margin of Error,**,"±15,728","±33,667","±14,349"
ZCTA5 43060,,,,
    Estimate,-,"147,300","138,600","153,800"
    Margin of Error,**,"±33,524","±8,559","±19,413"
ZCTA5 43061,,,,
    Estimate,"293,800","332,700","345,100","332,600"
    Margin of Error,"±105,106","±78,972","±35,392","±44,500"
ZCTA5 43062,,,,
    Estimate,"232,600","221,000","221,700","201,900"
    Margin of Error,"±67,044","±17,782","±17,696","±12,561"
ZCTA5 43064,,,,
    Estimate,"443,300","376,000","309,500","266,000"
    Margin of Error,"±39,460","±59,996","±47,270","±21,788"
ZCTA5 43065,,,,
    Estimate,"425,800","368,300","364,200","344,200"
    Margin of Error,"±122,172","±29,178","±14,714","±12,621"
ZCTA5 43066,,,,
    Estimate,-,"267,500",-,"311,100"
    Margin of Error,**,"±139,175",**,"±290,982"
ZCTA5 43067,,,,
    Estimate,-,"185,300","241,100","190,000"
    Margin of Error,**,"±44,811","±184,433","±159,798"
ZCTA5 43068,,,,
    Estimate,"257,500","185,800","142,000","175,300"
    Margin of Error,"±158,615","±11,549","±11,271","±9,243"
ZCTA5 43070,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43071,,,,
    Estimate,-,"131,300","189,100","203,100"
    Margin of Error,**,"±58,307","±31,631","±51,774"
ZCTA5 43072,,,,
    Estimate,-,"101,500","107,700","151,200"
    Margin of Error,**,"±49,638","±12,834","±16,901"
ZCTA5 43074,,,,
    Estimate,"357,100","320,900","295,900","313,100"
    Margin of Error,"±150,933","±47,691","±18,683","±48,651"
ZCTA5 43076,,,,
    Estimate,"330,400","204,800","133,300","287,200"
    Margin of Error,"±206,729","±29,684","±17,912","±46,318"
ZCTA5 43077,,,,
    Estimate,-,-,"155,000","106,300"
    Margin of Error,**,**,"±54,594","±49,601"
ZCTA5 43078,,,,
    Estimate,-,"98,400","140,100","137,700"
    Margin of Error,**,"±22,475","±10,260","±14,035"
ZCTA5 43080,,,,
    Estimate,-,"121,600",-,"156,500"
    Margin of Error,**,"±73,407",**,"±25,667"
ZCTA5 43081,,,,
    Estimate,"295,800","224,500","214,400","208,500"
    Margin of Error,"±63,931","±11,010","±14,608","±10,512"
ZCTA5 43082,,,,
    Estimate,"343,100","343,200","341,400","338,800"
    Margin of Error,"±181,132","±22,634","±16,696","±12,237"
ZCTA5 43084,,,,
    Estimate,-,-,"116,700","159,900"
    Margin of Error,**,**,"±73,750","±35,801"
ZCTA5 43085,,,,
    Estimate,"340,100","266,700","284,400","264,100"
    Margin of Error,"±34,285","±23,858","±26,675","±17,804"
ZCTA5 43101,,,,
    Estimate,-,"107,500",-,"82,800"
    Margin of Error,**,"±77,570",**,"±35,277"
ZCTA5 43102,,,,
    Estimate,-,"171,900","275,000","209,900"
    Margin of Error,**,"±80,805","±192,813","±43,414"
ZCTA5 43103,,,,
    Estimate,-,"168,400","166,600","172,900"
    Margin of Error,**,"±17,848","±24,047","±16,849"
ZCTA5 43105,,,,
    Estimate,-,"257,600","235,700","184,000"
    Margin of Error,**,"±24,450","±131,605","±17,889"
ZCTA5 43106,,,,
    Estimate,-,"116,300","81,500","78,200"
    Margin of Error,**,"±35,414","±72,632","±6,675"
ZCTA5 43107,,,,
    Estimate,-,"152,100","235,500","136,200"
    Margin of Error,**,"±19,271","±115,221","±83,166"
ZCTA5 43109,,,,
    Estimate,-,-,-,"125,000"
    Margin of Error,**,**,**,"±88,980"
ZCTA5 43110,,,,
    Estimate,"236,700","183,400","177,300","168,800"
    Margin of Error,"±36,102","±29,293","±24,042","±11,243"
ZCTA5 43111,,,,
    Estimate,-,-,-,"96,900"
    Margin of Error,**,**,**,"±17,398"
ZCTA5 43112,,,,
    Estimate,-,"308,700","292,600","282,600"
    Margin of Error,**,"±84,312","±240,544","±47,032"
ZCTA5 43113,,,,
    Estimate,"260,100","146,500","200,100","172,800"
    Margin of Error,"±236,239","±36,930","±47,427","±20,347"
ZCTA5 43115,,,,
    Estimate,-,-,"160,900","38,700"
    Margin of Error,**,**,"±12,322","±12,868"
ZCTA5 43116,,,,
    Estimate,"295,000","297,100","253,800","215,200"
    Margin of Error,"±103,016","±53,767","±35,337","±24,881"
ZCTA5 43117,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43119,,,,
    Estimate,"205,600","175,300","162,600","168,100"
    Margin of Error,"±33,581","±21,467","±13,119","±8,698"
ZCTA5 43123,,,,
    Estimate,"266,300","213,700","160,700","184,000"
    Margin of Error,"±30,011","±19,952","±11,643","±10,510"
ZCTA5 43125,,,,
    Estimate,"232,400","173,700","178,300","168,500"
    Margin of Error,"±140,378","±38,807","±13,398","±13,019"
ZCTA5 43126,,,,
    Estimate,-,-,-,"114,900"
    Margin of Error,**,**,**,"±11,897"
ZCTA5 43127,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43128,,,,
    Estimate,-,"75,000","87,800","111,100"
    Margin of Error,**,"±16,222","±29,847","±29,508"
ZCTA5 43130,,,,
    Estimate,"144,600","171,900","160,900","165,900"
    Margin of Error,"±53,674","±14,570","±12,632","±15,317"
ZCTA5 43135,,,,
    Estimate,-,"165,600","157,000","117,900"
    Margin of Error,**,"±19,274","±61,934","±31,362"
ZCTA5 43136,,,,
    Estimate,-,"272,800","217,500","234,800"
    Margin of Error,**,"±22,859","±29,530","±20,059"
ZCTA5 43137,,,,
    Estimate,-,"153,300","135,100","87,300"
    Margin of Error,**,"±37,898","±71,685","±35,695"
ZCTA5 43138,,,,
    Estimate,"122,300","143,300","106,800","150,800"
    Margin of Error,"±24,701","±54,512","±27,172","±14,121"
ZCTA5 43140,,,,
    Estimate,"223,400","168,000","176,700","156,000"
    Margin of Error,"±66,384","±6,179","±19,131","±21,660"
ZCTA5 43142,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43143,,,,
    Estimate,-,"167,500","215,900","148,000"
    Margin of Error,**,"±23,119","±65,560","±20,633"
ZCTA5 43144,,,,
    Estimate,-,-,"64,000","51,000"
    Margin of Error,**,**,"±26,068","±23,283"
ZCTA5 43145,,,,
    Estimate,-,-,"189,100","121,500"
    Margin of Error,**,**,"±29,889","±15,068"
ZCTA5 43146,,,,
    Estimate,"424,200","241,000","291,600","233,200"
    Margin of Error,"±348,238","±77,120","±234,622","±24,347"
ZCTA5 43147,,,,
    Estimate,"274,000","239,300","238,300","235,200"
    Margin of Error,"±33,885","±11,035","±13,805","±8,348"
ZCTA5 43148,,,,
    Estimate,-,"152,600","108,500","174,800"
    Margin of Error,**,"±37,639","±57,256","±85,883"
ZCTA5 43149,,,,
    Estimate,-,"156,300","215,600","148,300"
    Margin of Error,**,"±69,591","±203,883","±28,077"
ZCTA5 43150,,,,
    Estimate,"160,700","152,500","308,600","168,100"
    Margin of Error,"±61,121","±76,953","±210,338","±72,605"
ZCTA5 43151,,,,
    Estimate,-,-,"78,300","120,000"
    Margin of Error,**,**,"±44,725","±16,589"
ZCTA5 43152,,,,
    Estimate,-,-,-,"112,500"
    Margin of Error,**,**,**,"±108,353"
ZCTA5 43153,,,,
    Estimate,-,"165,800",-,"155,900"
    Margin of Error,**,"±23,094",**,"±40,239"
ZCTA5 43154,,,,
    Estimate,"136,100","296,600","259,300","155,700"
    Margin of Error,"±4,475","±80,406","±86,647","±66,988"
ZCTA5 43155,,,,
    Estimate,-,"259,700","106,600","210,000"
    Margin of Error,**,"±132,507","±30,352","±184,448"
ZCTA5 43156,,,,
    Estimate,-,-,"112,000","110,700"
    Margin of Error,**,**,"±2,682","±9,910"
ZCTA5 43157,,,,
    Estimate,-,-,"162,500","104,700"
    Margin of Error,**,**,"±103,822","±30,274"
ZCTA5 43158,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43160,,,,
    Estimate,-,"131,100","106,300","124,700"
    Margin of Error,**,"±14,665","±8,757","±20,507"
ZCTA5 43162,,,,
    Estimate,-,"136,900","157,600","169,100"
    Margin of Error,**,"±23,484","±30,635","±14,401"
ZCTA5 43164,,,,
    Estimate,"158,800","133,300","105,100","111,300"
    Margin of Error,"±18,644","±28,467","±81,893","±9,400"
ZCTA5 43201,,,,
    Estimate,-,"308,900","317,300","205,500"
    Margin of Error,**,"±45,610","±188,711","±64,959"
ZCTA5 43202,,,,
    Estimate,"315,000","270,600","239,200","249,300"
    Margin of Error,"±76,474","±11,734","±14,565","±38,011"
ZCTA5 43203,,,,
    Estimate,-,"200,400","167,600","255,900"
    Margin of Error,**,"±47,267","±46,074","±79,439"
ZCTA5 43204,,,,
    Estimate,"135,800","148,300","112,000","126,400"
    Margin of Error,"±31,548","±13,457","±9,120","±14,189"
ZCTA5 43205,,,,
    Estimate,"281,000","265,600","155,700","170,800"
    Margin of Error,"±36,363","±28,760","±85,445","±33,679"
ZCTA5 43206,,,,
    Estimate,"248,400","274,300","308,100","163,200"
    Margin of Error,"±78,948","±81,650","±47,314","±114,251"
ZCTA5 43207,,,,
    Estimate,"156,300","115,300","126,100","103,400"
    Margin of Error,"±12,232","±11,348","±17,620","±7,899"
ZCTA5 43209,,,,
    Estimate,"378,900","307,300","320,800","297,300"
    Margin of Error,"±115,837","±65,819","±50,261","±40,798"
ZCTA5 43210,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43211,,,,
    Estimate,-,"60,300","55,700","59,300"
    Margin of Error,**,"±20,923","±6,912","±5,852"
ZCTA5 43212,,,,
    Estimate,-,"304,200","450,900","447,000"
    Margin of Error,**,"±53,943","±52,598","±55,334"
ZCTA5 43213,,,,
    Estimate,"115,200","155,100","131,300","133,600"
    Margin of Error,"±6,310","±25,647","±17,226","±41,677"
ZCTA5 43214,,,,
    Estimate,"323,800","309,300","280,500","283,100"
    Margin of Error,"±112,673","±28,699","±16,258","±25,431"
ZCTA5 43215,,,,
    Estimate,"506,900","270,700","329,800","319,100"
    Margin of Error,"±312,848","±31,867","±67,946","±87,134"
ZCTA5 43217,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43219,,,,
    Estimate,"197,300","140,100","144,600","134,300"
    Margin of Error,"±129,864","±11,773","±31,064","±26,875"
ZCTA5 43220,,,,
    Estimate,"363,200","341,100","358,200","324,600"
    Margin of Error,"±214,727","±81,247","±37,692","±32,396"
ZCTA5 43221,,,,
    Estimate,"429,600","307,400","327,700","321,600"
    Margin of Error,"±137,716","±45,015","±39,567","±49,159"
ZCTA5 43222,,,,
    Estimate,-,"96,700",-,"47,000"
    Margin of Error,**,"±68,515",**,"±21,158"
ZCTA5 43223,,,,
    Estimate,"161,000","107,100","80,400","82,200"
    Margin of Error,"±3,735","±20,702","±30,273","±9,138"
ZCTA5 43224,,,,
    Estimate,"138,700","122,200","101,300","93,000"
    Margin of Error,"±10,018","±11,472","±18,982","±11,264"
ZCTA5 43227,,,,
    Estimate,-,"81,200","83,200","87,100"
    Margin of Error,**,"±13,971","±12,465","±3,557"
ZCTA5 43228,,,,
    Estimate,"135,400","146,100","122,600","154,500"
    Margin of Error,"±10,819","±20,113","±10,662","±10,306"
ZCTA5 43229,,,,
    Estimate,"178,400","158,400","125,300","143,800"
    Margin of Error,"±28,009","±13,964","±9,516","±5,381"
ZCTA5 43230,,,,
    Estimate,"228,700","204,500","211,300","198,800"
    Margin of Error,"±34,177","±27,027","±14,788","±12,830"
ZCTA5 43231,,,,
    Estimate,"230,100","169,300","135,600","154,400"
    Margin of Error,"±26,818","±10,137","±7,530","±15,273"
ZCTA5 43232,,,,
    Estimate,"149,300","108,900","111,100","106,100"
    Margin of Error,"±34,913","±6,974","±8,252","±9,895"
ZCTA5 43235,,,,
    Estimate,"258,500","237,200","253,800","261,300"
    Margin of Error,"±60,122","±20,650","±33,018","±17,793"
ZCTA5 43240,,,,
    Estimate,-,"220,300","193,600","222,200"
    Margin of Error,**,"±37,184","±17,298","±30,965"
ZCTA5 43302,,,,
    Estimate,"82,000","98,000","94,600","96,800"
    Margin of Error,"±20,509","±20,098","±9,823","±12,478"
ZCTA5 43310,,,,
    Estimate,"67,800","139,600","102,700","140,500"
    Margin of Error,"±38,643","±85,962","±26,414","±6,470"
ZCTA5 43311,,,,
    Estimate,"175,600","117,400","131,000","128,900"
    Margin of Error,"±75,604","±17,055","±12,447","±17,955"
ZCTA5 43314,,,,
    Estimate,-,"117,600","104,500","192,000"
    Margin of Error,**,"±13,704","±45,710","±48,367"
ZCTA5 43315,,,,
    Estimate,-,"140,200","148,100","144,000"
    Margin of Error,**,"±16,828","±26,746","±39,690"
ZCTA5 43316,,,,
    Estimate,-,"162,500","109,900","116,400"
    Margin of Error,**,"±61,438","±11,354","±17,530"
ZCTA5 43317,,,,
    Estimate,-,-,"53,000",-
    Margin of Error,**,**,"±15,527",**
ZCTA5 43318,,,,
    Estimate,-,"136,700","139,400","153,700"
    Margin of Error,**,"±43,630","±44,342","±50,196"
ZCTA5 43319,,,,
    Estimate,-,-,-,"225,700"
    Margin of Error,**,**,**,"±57,356"
ZCTA5 43320,,,,
    Estimate,-,-,"96,700","95,800"
    Margin of Error,**,**,"±7,446","±2,699"
ZCTA5 43321,,,,
    Estimate,-,"154,700","117,000","131,300"
    Margin of Error,**,"±48,030","±53,926","±54,913"
ZCTA5 43322,,,,
    Estimate,-,"132,500",-,"125,000"
    Margin of Error,**,"±27,012",**,"±71,282"
ZCTA5 43323,,,,
    Estimate,-,"139,100","158,300","119,300"
    Margin of Error,**,"±11,142","±116,166","±54,898"
ZCTA5 43324,,,,
    Estimate,"260,700","187,500","150,000","213,100"
    Margin of Error,"±222,536","±59,948","±54,236","±15,715"
ZCTA5 43326,,,,
    Estimate,"125,300","87,300","87,900","106,600"
    Margin of Error,"±113,034","±22,546","±42,792","±21,710"
ZCTA5 43330,,,,
    Estimate,-,"85,000",-,-
    Margin of Error,**,"±41,490",**,**
ZCTA5 43331,,,,
    Estimate,-,"219,400","83,700","86,700"
    Margin of Error,**,"±37,258","±11,356","±22,465"
ZCTA5 43332,,,,
    Estimate,-,"268,100","95,000","117,800"
    Margin of Error,**,"±65,708","±17,704","±72,543"
ZCTA5 43333,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43334,,,,
    Estimate,"325,000","250,300","173,300","169,100"
    Margin of Error,"±170,025","±106,467","±132,340","±18,559"
ZCTA5 43336,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43337,,,,
    Estimate,-,"258,300","118,800","99,400"
    Margin of Error,**,"±187,277","±28,216","±38,086"
ZCTA5 43338,,,,
    Estimate,-,"183,600","178,900","122,500"
    Margin of Error,**,"±29,561","±38,331","±56,944"
ZCTA5 43340,,,,
    Estimate,-,"105,000",-,"151,600"
    Margin of Error,**,"±56,200",**,"±36,896"
ZCTA5 43341,,,,
    Estimate,-,-,-,"154,300"
    Margin of Error,**,**,**,"±35,440"
ZCTA5 43342,,,,
    Estimate,"210,200","176,600","167,700","159,200"
    Margin of Error,"±154,942","±38,401","±27,923","±47,523"
ZCTA5 43343,,,,
    Estimate,-,"92,500","87,900","127,900"
    Margin of Error,**,"±85,827","±6,226","±29,049"
ZCTA5 43344,,,,
    Estimate,"174,100","190,500","147,200","196,100"
    Margin of Error,"±37,306","±31,598","±36,398","±27,453"
ZCTA5 43345,,,,
    Estimate,-,"203,200","59,100","159,400"
    Margin of Error,**,"±77,858","±43,170","±29,673"
ZCTA5 43347,,,,
    Estimate,-,"129,500","90,000","148,600"
    Margin of Error,**,"±26,425","±72,097","±70,252"
ZCTA5 43348,,,,
    Estimate,-,"114,300","266,700","89,100"
    Margin of Error,**,"±57,450","±88,317","±24,310"
ZCTA5 43351,,,,
    Estimate,"163,100","101,300","145,400","142,200"
    Margin of Error,"±8,041","±26,263","±23,270","±9,491"
ZCTA5 43356,,,,
    Estimate,-,"209,000","257,100","218,800"
    Margin of Error,**,"±67,077","±239,005","±82,585"
ZCTA5 43357,,,,
    Estimate,"134,100","171,400","171,900","190,100"
    Margin of Error,"±16,642","±57,484","±65,225","±36,013"
ZCTA5 43358,,,,
    Estimate,-,"148,100","116,300","180,300"
    Margin of Error,**,"±47,404","±60,631","±45,777"
ZCTA5 43359,,,,
    Estimate,-,-,-,"156,900"
    Margin of Error,**,**,**,"±35,922"
ZCTA5 43360,,,,
    Estimate,-,"199,400",-,"162,000"
    Margin of Error,**,"±68,206",**,"±34,347"
ZCTA5 43402,,,,
    Estimate,"311,400","179,000","181,200","197,000"
    Margin of Error,"±283,951","±21,322","±20,003","±15,180"
ZCTA5 43403,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43406,,,,
    Estimate,-,"87,500","115,000","112,500"
    Margin of Error,**,"±15,893","±7,087","±18,039"
ZCTA5 43407,,,,
    Estimate,-,-,"107,300","92,200"
    Margin of Error,**,**,"±33,296","±40,557"
ZCTA5 43408,,,,
    Estimate,-,"93,300",-,"104,200"
    Margin of Error,**,"±30,164",**,"±34,752"
ZCTA5 43410,,,,
    Estimate,-,"109,200","112,300","125,800"
    Margin of Error,**,"±16,103","±41,310","±21,678"
ZCTA5 43412,,,,
    Estimate,-,"218,600","137,500","210,900"
    Margin of Error,**,"±87,031","±65,579","±113,141"
ZCTA5 43413,,,,
    Estimate,-,"175,000","77,100","88,200"
    Margin of Error,**,"±126,179","±6,707","±23,591"
ZCTA5 43416,,,,
    Estimate,"116,700","157,100","147,800","152,800"
    Margin of Error,"±20,656","±39,228","±19,161","±14,125"
ZCTA5 43420,,,,
    Estimate,"114,700","111,000","106,500","127,400"
    Margin of Error,"±8,271","±11,694","±14,590","±10,089"
ZCTA5 43430,,,,
    Estimate,"136,200","115,200","119,800","134,500"
    Margin of Error,"±6,379","±13,418","±21,198","±18,264"
ZCTA5 43431,,,,
    Estimate,"85,800","142,200","100,500","144,300"
    Margin of Error,"±77,510","±72,053","±23,958","±39,137"
ZCTA5 43432,,,,
    Estimate,-,-,-,"204,500"
    Margin of Error,**,**,**,"±69,605"
ZCTA5 43433,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43434,,,,
    Estimate,-,-,-,"10,000-"
    Margin of Error,**,**,**,***
ZCTA5 43435,,,,
    Estimate,-,-,"178,800","155,900"
    Margin of Error,**,**,"±142,326","±14,260"
ZCTA5 43437,,,,
    Estimate,-,"168,800","75,000","115,600"
    Margin of Error,**,"±144,976","±25,309","±100,998"
ZCTA5 43438,,,,
    Estimate,-,"237,500","267,900","290,900"
    Margin of Error,**,"±84,364","±44,634","±42,717"
ZCTA5 43439,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43440,,,,
    Estimate,"192,000","226,600","208,000","215,700"
    Margin of Error,"±142,891","±45,502","±84,369","±20,668"
ZCTA5 43442,,,,
    Estimate,-,"114,600","94,400","113,500"
    Margin of Error,**,"±37,181","±47,277","±4,756"
ZCTA5 43443,,,,
    Estimate,-,"170,300","119,000","159,300"
    Margin of Error,**,"±111,646","±23,262","±23,921"
ZCTA5 43445,,,,
    Estimate,-,"134,800",-,"192,100"
    Margin of Error,**,"±61,341",**,"±59,856"
ZCTA5 43446,,,,
    Estimate,-,-,-,"187,500"
    Margin of Error,**,**,**,"±79,152"
ZCTA5 43447,,,,
    Estimate,-,-,"137,500","164,300"
    Margin of Error,**,**,"±104,393","±10,610"
ZCTA5 43449,,,,
    Estimate,"262,500","156,400","180,200","146,800"
    Margin of Error,"±257,850","±32,810","±31,867","±15,687"
ZCTA5 43450,,,,
    Estimate,"161,200","187,500","218,100","209,200"
    Margin of Error,"±4,943","±33,877","±48,345","±26,779"
ZCTA5 43451,,,,
    Estimate,-,"130,000","137,500","244,000"
    Margin of Error,**,"±17,629","±119,655","±68,861"
ZCTA5 43452,,,,
