Label (Grouping),Median value --!!Total:!!Moved in 2019 or later,Median value --!!Total:!!Moved in 2015 to 2018,Median value --!!Total:!!Moved in 2010 to 2014,Median value --!!Total:!!Moved in 2000 to 2009
    Margin of Error,**,"±18,381","±13,481","±11,140"
ZCTA5 00794,,,,
    Estimate,-,"110,200","112,800","118,600"
    Margin of Error,**,"±82,705","±8,106","±14,977"
ZCTA5 00795,,,,
    Estimate,-,"95,000","95,900","101,100"
    Margin of Error,**,"±7,489","±15,301","±6,772"
ZCTA5 00901,,,,
    Estimate,"345,800","310,000","290,000","370,200"
    Margin of Error,"±203,856","±52,541","±75,635","±88,071"
ZCTA5 00906,,,,
    Estimate,-,-,"377,800",-
    Margin of Error,**,**,"±52,261",**
ZCTA5 00907,,,,
    Estimate,"574,100","335,200","271,400","227,700"
    Margin of Error,"±183,366","±68,263","±88,058","±16,348"
ZCTA5 00909,,,,
    Estimate,-,"126,200","150,500","124,400"
    Margin of Error,**,"±18,821","±48,525","±31,639"
ZCTA5 00911,,,,
    Estimate,-,"240,300","462,100","272,400"
    Margin of Error,**,"±95,978","±115,917","±167,980"
ZCTA5 00912,,,,
    Estimate,-,"146,400","114,200","127,100"
    Margin of Error,**,"±60,608","±13,243","±14,534"
ZCTA5 00913,,,,
    Estimate,-,-,"340,400","491,200"
    Margin of Error,**,**,"±20,558","±311,113"
ZCTA5 00915,,,,
    Estimate,"175,000","92,800","91,700","100,800"
    Margin of Error,"±174,437","±27,976","±17,957","±11,448"
ZCTA5 00917,,,,
    Estimate,-,"108,600","114,200","133,600"
    Margin of Error,**,"±43,078","±13,092","±24,052"
ZCTA5 00918,,,,
    Estimate,"203,000","144,800","182,800","160,700"
    Margin of Error,"±135,837","±11,677","±33,950","±27,595"
ZCTA5 00920,,,,
    Estimate,-,"137,800","127,000","156,300"
    Margin of Error,**,"±14,586","±14,826","±11,845"
ZCTA5 00921,,,,
    Estimate,"99,700","114,900","136,400","123,300"
    Margin of Error,"±39,141","±12,227","±13,016","±8,319"
ZCTA5 00923,,,,
    Estimate,-,"121,200","111,500","99,900"
    Margin of Error,**,"±16,714","±6,845","±13,166"
ZCTA5 00924,,,,
    Estimate,"116,400","125,800","124,700","124,600"
    Margin of Error,"±39,805","±18,240","±10,716","±8,792"
ZCTA5 00925,,,,
    Estimate,-,"111,100","134,200","109,200"
    Margin of Error,**,"±8,375","±5,779","±6,685"
ZCTA5 00926,,,,
    Estimate,"174,800","182,700","177,200","166,000"
    Margin of Error,"±20,906","±13,973","±17,618","±4,124"
ZCTA5 00927,,,,
    Estimate,-,"170,800","183,300","230,100"
    Margin of Error,**,"±51,099","±15,893","±85,175"
ZCTA5 00934,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 00936,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 00949,,,,
    Estimate,"164,900","111,500","133,300","128,900"
    Margin of Error,"±14,689","±8,431","±7,024","±4,305"
ZCTA5 00950,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 00951,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 00952,,,,
    Estimate,-,"90,500","109,600","111,600"
    Margin of Error,**,"±18,029","±7,424","±17,007"
ZCTA5 00953,,,,
    Estimate,"102,600","143,100","143,800","162,600"
    Margin of Error,"±28,998","±11,474","±15,429","±6,424"
ZCTA5 00956,,,,
    Estimate,"124,200","106,900","123,000","127,800"
    Margin of Error,"±13,093","±9,022","±6,596","±7,789"
ZCTA5 00957,,,,
    Estimate,-,"126,200","132,800","131,800"
    Margin of Error,**,"±12,096","±8,824","±5,869"
ZCTA5 00959,,,,
    Estimate,"137,500","125,700","142,400","135,800"
    Margin of Error,"±18,122","±9,849","±5,773","±5,190"
ZCTA5 00960,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 00961,,,,
    Estimate,-,"145,100","149,200","139,600"
    Margin of Error,**,"±21,593","±20,438","±11,650"
ZCTA5 00962,,,,
    Estimate,-,"93,300","95,700","111,900"
    Margin of Error,**,"±44,940","±14,340","±9,823"
ZCTA5 00965,,,,
    Estimate,-,-,"92,800","90,800"
    Margin of Error,**,**,"±11,385","±15,546"
ZCTA5 00966,,,,
    Estimate,-,"230,400","210,000","204,700"
    Margin of Error,**,"±29,371","±69,969","±72,891"
ZCTA5 00968,,,,
    Estimate,-,"123,600","181,300","194,700"
    Margin of Error,**,"±115,085","±64,183","±31,328"
ZCTA5 00969,,,,
    Estimate,-,"195,000","185,400","219,300"
    Margin of Error,**,"±19,827","±36,101","±13,485"
ZCTA5 00971,,,,
    Estimate,-,"146,700","165,600","148,300"
    Margin of Error,**,"±23,895","±64,276","±15,598"
ZCTA5 00976,,,,
    Estimate,"159,100","210,700","158,400","147,000"
    Margin of Error,"±8,836","±57,883","±6,854","±10,936"
ZCTA5 00979,,,,
    Estimate,"158,700","169,000","162,000","189,200"
    Margin of Error,"±58,674","±65,951","±21,087","±29,097"
ZCTA5 00982,,,,
    Estimate,-,"126,700","141,900","134,100"
    Margin of Error,**,"±11,985","±17,633","±13,087"
ZCTA5 00983,,,,
    Estimate,-,"117,600","140,500","126,100"
    Margin of Error,**,"±9,336","±7,864","±9,002"
ZCTA5 00985,,,,
    Estimate,"116,600","130,200","138,100","119,500"
    Margin of Error,"±19,786","±11,498","±8,859","±6,920"
ZCTA5 00987,,,,
    Estimate,"133,600","141,900","144,700","139,600"
    Margin of Error,"±7,932","±25,821","±13,125","±5,919"
ZCTA5 01001,,,,
    Estimate,"296,900","234,200","234,500","197,400"
    Margin of Error,"±75,713","±14,577","±23,081","±21,342"
ZCTA5 01002,,,,
    Estimate,"276,800","409,500","328,500","426,400"
    Margin of Error,"±6,383","±121,935","±39,424","±50,612"
ZCTA5 01003,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01005,,,,
    Estimate,"195,300","238,600",-,"264,300"
    Margin of Error,"±117,104","±43,930",**,"±40,929"
ZCTA5 01007,,,,
    Estimate,"343,100","265,300","263,400","293,500"
    Margin of Error,"±114,539","±16,957","±39,004","±24,427"
ZCTA5 01008,,,,
    Estimate,-,"150,000","225,000","219,400"
    Margin of Error,**,"±70,928","±160,858","±44,277"
ZCTA5 01009,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01010,,,,
    Estimate,"293,800",-,"280,300","267,100"
    Margin of Error,"±198,215",**,"±30,043","±64,818"
ZCTA5 01011,,,,
    Estimate,-,"194,400","211,400","216,300"
    Margin of Error,**,"±45,882","±74,484","±41,531"
ZCTA5 01012,,,,
    Estimate,-,"208,300","235,000","330,000"
    Margin of Error,**,"±68,860","±14,843","±99,179"
ZCTA5 01013,,,,
    Estimate,-,"198,500","214,400","177,900"
    Margin of Error,**,"±17,508","±46,768","±16,817"
ZCTA5 01020,,,,
    Estimate,-,"197,200","180,100","202,600"
    Margin of Error,**,"±14,999","±21,376","±15,786"
ZCTA5 01022,,,,
